Instancia:  instances/ms_26_5.txt
# Parámetros de la instancia
Número de haplotipos: 26
Número de genotipos: 13
Cantidad de sitios polimórficos: 5
Haplotipos:
[1, 0, 0, 1, 0]
[0, 0, 0, 1, 0]
[0, 0, 0, 1, 0]
[0, 0, 0, 0, 0]
[0, 1, 0, 0, 1]
[0, 1, 0, 0, 1]
[0, 0, 0, 0, 0]
[0, 0, 0, 1, 0]
[0, 0, 0, 0, 0]
[0, 0, 0, 0, 0]
[0, 0, 0, 0, 0]
[0, 0, 0, 0, 0]
[0, 0, 0, 1, 0]
[0, 0, 0, 1, 0]
[0, 0, 0, 1, 0]
[0, 0, 1, 1, 0]
[0, 0, 0, 1, 0]
[0, 0, 0, 1, 0]
[0, 1, 0, 0, 1]
[0, 0, 0, 0, 0]
[0, 0, 0, 1, 0]
[0, 0, 0, 1, 0]
[0, 0, 0, 1, 0]
[0, 0, 0, 0, 0]
[0, 0, 0, 1, 0]
[0, 0, 1, 1, 0]
Genotipos:
[2, 0, 0, 1, 0]
[0, 0, 0, 2, 0]
[0, 1, 0, 0, 1]
[0, 0, 0, 2, 0]
[0, 0, 0, 0, 0]
[0, 0, 0, 0, 0]
[0, 0, 0, 1, 0]
[0, 0, 2, 1, 0]
[0, 0, 0, 1, 0]
[0, 2, 0, 0, 2]
[0, 0, 0, 1, 0]
[0, 0, 0, 2, 0]
[0, 0, 2, 1, 0]
Solving...
######
instances/ms_26_5.txt,0,13,5,0,0.003959999999999998,42204,10739
