instance,solved,num_genotipos,num_sitios,solucion,time,num_clausulas,num_variables
instances/ms_10_10.txt,1,5,10,7,0.0003030000000000012,2544,11984
instances/ms_10_12.txt,1,5,12,10,0.0005799999999999937,3614,23548
instances/ms_10_9.txt,1,5,9,1,8.200000000000221e-05,730,2656
instances/ms_12_10.txt,1,6,10,1,0.00018900000000000167,1144,7221
instances/ms_12_12.txt,1,6,12,5,0.000337999999999998,2432,13516
instances/ms_12_16.txt,1,6,16,2,0.0006989999999999982,1860,27992
instances/ms_12_18.txt,1,6,18,1,0.0009790000000000007,1376,39893
instances/ms_12_5.txt,1,6,5,1,3.700000000000231e-05,782,970
instances/ms_14_10.txt,1,7,10,10,0.00027700000000000294,6642,10460
instances/ms_16_21.txt,1,8,21,1,0.0018789999999999918,3948,76785
instances/ms_16_9.txt,1,8,9,7,0.00026899999999999494,4112,10448
instances/ms_18_20.txt,1,9,20,1,0.001288000000000001,5358,52808
instances/ms_20_13.txt,1,10,13,3,0.0006400000000000051,5628,21312
instances/ms_20_15.txt,1,10,15,14,0.0022679999999999922,22162,94030
instances/ms_22_13.txt,1,11,13,12,0.002981999999999981,16088,118426
instances/ms_22_21.txt,1,11,21,15,0.008002999999999948,23064,324831
instances/ms_2_10.txt,1,1,10,1,1.2999999999999123e-05,22,267
instances/ms_2_11.txt,1,1,11,1,1.2999999999999123e-05,24,321
instances/ms_2_12.txt,1,1,12,1,1.4000000000000123e-05,26,380
instances/ms_2_13.txt,1,1,13,1,1.4000000000000123e-05,28,444
instances/ms_2_14.txt,1,1,14,1,1.6999999999999654e-05,30,513
instances/ms_2_15.txt,1,1,15,1,1.9000000000001654e-05,32,587
instances/ms_2_16.txt,1,1,16,1,2.1000000000000185e-05,34,666
instances/ms_2_17.txt,1,1,17,1,2.3999999999999716e-05,36,750
instances/ms_2_18.txt,1,1,18,1,2.2999999999998716e-05,38,839
instances/ms_2_19.txt,1,1,19,1,2.7000000000002716e-05,40,933
instances/ms_2_2.txt,1,1,2,1,5.000000000001531e-06,6,15
instances/ms_2_20.txt,1,1,20,1,2.9999999999998778e-05,42,1032
instances/ms_2_21.txt,1,1,21,1,3.199999999999731e-05,44,1136
instances/ms_2_22.txt,1,1,22,1,3.500000000000031e-05,46,1245
instances/ms_2_3.txt,1,1,3,1,4.000000000000531e-06,8,29
instances/ms_2_4.txt,1,1,4,1,5.999999999999062e-06,10,48
instances/ms_2_5.txt,1,1,5,1,5.999999999999062e-06,12,72
instances/ms_2_6.txt,1,1,6,1,7.000000000000062e-06,14,101
instances/ms_2_7.txt,1,1,7,1,8.000000000001062e-06,16,135
instances/ms_2_8.txt,1,1,8,1,8.999999999998592e-06,18,174
instances/ms_2_9.txt,1,1,9,1,8.999999999998592e-06,20,218
instances/ms_4_11.txt,1,2,11,1,5.099999999999896e-05,114,1373
instances/ms_4_12.txt,1,2,12,1,4.799999999999943e-05,132,1158
instances/ms_4_13.txt,1,2,13,1,7.799999999999821e-05,140,1561
instances/ms_4_15.txt,1,2,15,1,7.499999999999868e-05,148,2733
instances/ms_4_16.txt,1,2,16,1,0.0001239999999999991,154,3240
instances/ms_4_18.txt,1,2,18,1,0.0001020000000000014,182,3330
instances/ms_4_19.txt,1,2,19,1,0.00011099999999999999,198,3437
instances/ms_4_20.txt,1,2,20,1,0.00011500000000000052,206,3756
instances/ms_4_21.txt,1,2,21,1,0.00016399999999999748,190,6403
instances/ms_4_3.txt,1,2,3,1,9.999999999996123e-06,42,102
instances/ms_4_4.txt,1,2,4,1,2.0999999999996716e-05,52,134
instances/ms_4_5.txt,1,2,5,1,2.3999999999996247e-05,62,241
instances/ms_4_6.txt,1,2,6,1,2.7000000000002716e-05,72,294
instances/ms_4_8.txt,1,2,8,1,3.600000000000131e-05,86,724
instances/ms_6_12.txt,1,3,12,1,8.000000000000368e-05,246,2466
instances/ms_6_15.txt,1,3,15,1,0.0001549999999999989,266,5240
instances/ms_6_22.txt,1,3,22,1,0.00028399999999999953,390,10988
instances/ms_6_5.txt,1,3,5,1,2.1000000000000185e-05,130,318
instances/ms_6_8.txt,1,3,8,1,3.500000000000031e-05,190,800
instances/ms_6_9.txt,1,3,9,6,0.00013099999999999917,656,4152
instances/ms_8_11.txt,1,4,11,1,0.00019199999999999773,456,7322
instances/ms_8_14.txt,1,4,14,1,0.00013400000000000217,728,4785
instances/ms_8_15.txt,1,4,15,5,0.0004119999999999957,1376,16137
instances/ms_8_19.txt,1,4,19,1,0.00029900000000000065,904,11616
instances/ms_8_20.txt,1,4,20,1,0.00035400000000000015,920,14091
instances/ms_8_22.txt,1,4,22,1,0.0003489999999999986,1064,13877
instances/ms_8_5.txt,1,4,5,3,2.9000000000001247e-05,404,573
instances/ms_8_7.txt,1,4,7,7,7.300000000000015e-05,1116,2357
instances/ms_8_9.txt,1,4,9,1,7.700000000000068e-05,488,2426
